Task,Group,Variant,radiff2,sdhash,ssdeep
T1_WordCount,gemini,O0,95.41,21.1,9.0
T1_WordCount,gemini,_O3,95.17,20.6,17.7
T1_WordCount,gemini,_base,95.17,20.6,17.7
T1_WordCount,gemini,_cff,92.61,16.7,0.0
T1_WordCount,gemini,_clang_O2,95.68,31.2,31.8
T1_WordCount,gemini,_elit,85.6,33.6,0.0
T1_WordCount,gemini,_stripped,95.27,25.4,0.0
T1_WordCount,gpt5,O0,94.73,26.0,6.8
T1_WordCount,gpt5,_O3,94.77,22.5,6.3
T1_WordCount,gpt5,_base,94.77,22.5,6.3
T1_WordCount,gpt5,_cff,92.89,19.6,5.5
T1_WordCount,gpt5,_clang_O2,95.9,39.3,21.2
T1_WordCount,gpt5,_elit,87.57,27.5,0.0
T1_WordCount,gpt5,_stripped,95.01,29.2,0.0
T1_WordCount,human,O0,86.21,9.0,0.0
T1_WordCount,human,_O3,87.09,9.75,0.0
T1_WordCount,human,_base,87.09,10.833,0.0
T1_WordCount,human,_cff,79.97,7.375,0.0
T1_WordCount,human,_clang_O2,87.29,13.5,0.0
T1_WordCount,human,_elit,74.26,9.2,0.0
T1_WordCount,human,_stripped,87.64,17.0,0.0
T2_BubbleSort,gemini,O0,96.89,70.8,0.0
T2_BubbleSort,gemini,_O3,97.11,64.9,48.8
T2_BubbleSort,gemini,_base,96.98,60.6,49.9
T2_BubbleSort,gemini,_cff,94.07,50.1,0.0
T2_BubbleSort,gemini,_clang_O2,96.01,69.6,66.6
T2_BubbleSort,gemini,_elit,85.16,45.1,0.0
T2_BubbleSort,gemini,_stripped,96.9,68.3,52.6
T2_BubbleSort,gpt5,O0,93.47,25.5,0.0
T2_BubbleSort,gpt5,_O3,93.27,23.8,9.3
T2_BubbleSort,gpt5,_base,93.34,22.8,9.1
T2_BubbleSort,gpt5,_cff,91.55,22.6,0.0
T2_BubbleSort,gpt5,_clang_O2,93.29,25.3,0.0
T2_BubbleSort,gpt5,_elit,82.65,16.3,0.0
T2_BubbleSort,gpt5,_stripped,93.65,30.6,9.6
T2_BubbleSort,human,O0,95.28,30.0,6.3
T2_BubbleSort,human,_O3,94.18,25.5,5.7
T2_BubbleSort,human,_base,95.44,26.8,6.5
T2_BubbleSort,human,_cff,93.43,23.1,0.0
T2_BubbleSort,human,_clang_O2,93.86,25.2,5.8
T2_BubbleSort,human,_elit,87.51,25.8,0.0
T2_BubbleSort,human,_stripped,95.55,30.8,6.3
