Task,Variant,Group,Tool,File1,File2,Score
T1_WordCount,_base,human,ssdeep,1_base,2_base,0
T1_WordCount,_base,human,ssdeep,1_base,3_base,0
T1_WordCount,_base,human,ssdeep,1_base,4_base,0
T1_WordCount,_base,human,ssdeep,1_base,5_base,0
T1_WordCount,_base,human,ssdeep,2_base,3_base,0
T1_WordCount,_base,human,ssdeep,2_base,4_base,0
T1_WordCount,_base,human,ssdeep,2_base,5_base,0
T1_WordCount,_base,human,ssdeep,3_base,4_base,0
T1_WordCount,_base,human,ssdeep,3_base,5_base,0
T1_WordCount,_base,human,ssdeep,4_base,5_base,0
T1_WordCount,_base,human,sdhash,4_base,5_base,011
T1_WordCount,_base,human,sdhash,2_base,4_base,014
T1_WordCount,_base,human,sdhash,1_base,4_base,015
T1_WordCount,_base,human,sdhash,2_base,5_base,010
T1_WordCount,_base,human,sdhash,3_base,1_base,004
T1_WordCount,_base,human,sdhash,3_base,4_base,011
T1_WordCount,_base,human,radiff2,1_base,2_base,0.856
T1_WordCount,_base,human,radiff2,1_base,3_base,0.871
T1_WordCount,_base,human,radiff2,1_base,4_base,0.909
T1_WordCount,_base,human,radiff2,1_base,5_base,0.899
T1_WordCount,_base,human,radiff2,2_base,3_base,0.874
T1_WordCount,_base,human,radiff2,2_base,4_base,0.845
T1_WordCount,_base,human,radiff2,2_base,5_base,0.836
T1_WordCount,_base,human,radiff2,3_base,4_base,0.854
T1_WordCount,_base,human,radiff2,3_base,5_base,0.853
T1_WordCount,_base,human,radiff2,4_base,5_base,0.912
T1_WordCount,_base,gemini,ssdeep,1_base,2_base,44
T1_WordCount,_base,gemini,ssdeep,1_base,3_base,46
T1_WordCount,_base,gemini,ssdeep,1_base,4_base,0
T1_WordCount,_base,gemini,ssdeep,1_base,5_base,0
T1_WordCount,_base,gemini,ssdeep,2_base,3_base,0
T1_WordCount,_base,gemini,ssdeep,2_base,4_base,0
T1_WordCount,_base,gemini,ssdeep,2_base,5_base,0
T1_WordCount,_base,gemini,ssdeep,3_base,4_base,0
T1_WordCount,_base,gemini,ssdeep,3_base,5_base,44
T1_WordCount,_base,gemini,ssdeep,4_base,5_base,43
T1_WordCount,_base,gemini,sdhash,2_base,1_base,019
T1_WordCount,_base,gemini,sdhash,4_base,5_base,020
T1_WordCount,_base,gemini,sdhash,2_base,3_base,009
T1_WordCount,_base,gemini,sdhash,2_base,4_base,021
T1_WordCount,_base,gemini,sdhash,2_base,5_base,014
T1_WordCount,_base,gemini,sdhash,1_base,3_base,018
T1_WordCount,_base,gemini,sdhash,1_base,4_base,040
T1_WordCount,_base,gemini,sdhash,1_base,5_base,027
T1_WordCount,_base,gemini,sdhash,3_base,4_base,014
T1_WordCount,_base,gemini,sdhash,3_base,5_base,024
T1_WordCount,_base,gemini,radiff2,1_base,2_base,0.963
T1_WordCount,_base,gemini,radiff2,1_base,3_base,0.944
T1_WordCount,_base,gemini,radiff2,1_base,4_base,0.962
T1_WordCount,_base,gemini,radiff2,1_base,5_base,0.956
T1_WordCount,_base,gemini,radiff2,2_base,3_base,0.931
T1_WordCount,_base,gemini,radiff2,2_base,4_base,0.952
T1_WordCount,_base,gemini,radiff2,2_base,5_base,0.943
T1_WordCount,_base,gemini,radiff2,3_base,4_base,0.943
T1_WordCount,_base,gemini,radiff2,3_base,5_base,0.955
T1_WordCount,_base,gemini,radiff2,4_base,5_base,0.968
T1_WordCount,_base,gpt5,ssdeep,1_base,2_base,0
T1_WordCount,_base,gpt5,ssdeep,1_base,3_base,0
