Task,Group,Variant,Basename,Cyclomatic,Nodes,Edges,Decompiled_Len
T1_WordCount,gemini,_O0,2_O0,15,15,28,1093
T1_WordCount,gemini,_O0,5_O0,16,19,33,1110
T1_WordCount,gemini,_O0,3_O0,8,7,13,339
T1_WordCount,gemini,_O0,1_O0,12,11,21,924
T1_WordCount,gemini,_O0,4_O0,19,20,37,1261
T1_WordCount,gemini,_O3,5_O3,16,17,31,1184
T1_WordCount,gemini,_O3,2_O3,15,13,26,1153
T1_WordCount,gemini,_O3,4_O3,19,19,36,1436
T1_WordCount,gemini,_O3,1_O3,11,12,21,897
T1_WordCount,gemini,_O3,3_O3,7,6,11,339
T1_WordCount,gemini,_base,3_base,7,6,11,339
T1_WordCount,gemini,_base,2_base,15,13,26,1153
T1_WordCount,gemini,_base,1_base,11,12,21,897
T1_WordCount,gemini,_base,4_base,19,19,36,1436
T1_WordCount,gemini,_base,5_base,16,17,31,1184
T1_WordCount,gemini,_cff,1_cff,3,3,4,387
T1_WordCount,gemini,_cff,5_cff,3,3,4,387
T1_WordCount,gemini,_cff,2_cff,3,3,4,387
T1_WordCount,gemini,_cff,4_cff,3,3,4,431
T1_WordCount,gemini,_cff,3_cff,7,7,12,466
T1_WordCount,gemini,_clang_O2,5_clang_O2,15,15,28,1241
T1_WordCount,gemini,_clang_O2,3_clang_O2,20,21,39,1747
T1_WordCount,gemini,_clang_O2,1_clang_O2,15,15,28,1241
T1_WordCount,gemini,_clang_O2,2_clang_O2,18,18,34,1480
T1_WordCount,gemini,_clang_O2,4_clang_O2,18,17,33,1491
T1_WordCount,gemini,_elit,3_elit,14,7,19,3644
T1_WordCount,gemini,_elit,1_elit,17,11,26,5291
T1_WordCount,gemini,_elit,5_elit,21,18,37,9150
T1_WordCount,gemini,_elit,2_elit,20,14,32,5024
T1_WordCount,gemini,_elit,4_elit,24,21,43,8186
T1_WordCount,gemini,_stripped,4_stripped,3,3,4,144
T1_WordCount,gemini,_stripped,5_stripped,3,3,4,144
T1_WordCount,gemini,_stripped,3_stripped,3,3,4,144
T1_WordCount,gemini,_stripped,2_stripped,3,3,4,144
T1_WordCount,gemini,_stripped,1_stripped,3,3,4,144
T1_WordCount,gpt5,_O0,2_O0,28,27,53,2158
T1_WordCount,gpt5,_O0,5_O0,18,23,39,1626
T1_WordCount,gpt5,_O0,3_O0,17,19,34,1110
T1_WordCount,gpt5,_O0,1_O0,19,23,40,1122
T1_WordCount,gpt5,_O0,4_O0,18,20,36,1216
T1_WordCount,gpt5,_O3,5_O3,17,21,36,1771
T1_WordCount,gpt5,_O3,2_O3,26,23,47,2066
T1_WordCount,gpt5,_O3,4_O3,18,18,34,1377
T1_WordCount,gpt5,_O3,1_O3,16,21,35,1305
T1_WordCount,gpt5,_O3,3_O3,16,16,30,1216
T1_WordCount,gpt5,_base,3_base,16,16,30,1216
T1_WordCount,gpt5,_base,2_base,26,23,47,2066
T1_WordCount,gpt5,_base,1_base,16,21,35,1305
T1_WordCount,gpt5,_base,4_base,18,18,34,1377
T1_WordCount,gpt5,_base,5_base,17,21,36,1771
T1_WordCount,gpt5,_cff,1_cff,3,3,4,431
T1_WordCount,gpt5,_cff,5_cff,3,3,4,431
T1_WordCount,gpt5,_cff,2_cff,3,3,4,431
T1_WordCount,gpt5,_cff,4_cff,3,3,4,387
T1_WordCount,gpt5,_cff,3_cff,3,3,4,431
T1_WordCount,gpt5,_clang_O2,5_clang_O2,18,21,37,1943
T1_WordCount,gpt5,_clang_O2,3_clang_O2,16,15,29,1559
T1_WordCount,gpt5,_clang_O2,1_clang_O2,15,20,33,1518
T1_WordCount,gpt5,_clang_O2,2_clang_O2,27,23,48,2838
T1_WordCount,gpt5,_clang_O2,4_clang_O2,17,17,32,1475
T1_WordCount,gpt5,_elit,3_elit,23,20,41,8024
T1_WordCount,gpt5,_elit,1_elit,26,24,48,9528
T1_WordCount,gpt5,_elit,5_elit,23,21,42,8971
T1_WordCount,gpt5,_elit,2_elit,38,28,64,11382
T1_WordCount,gpt5,_elit,4_elit,24,20,42,9514
T1_WordCount,gpt5,_stripped,4_stripped,3,3,4,144
T1_WordCount,gpt5,_stripped,5_stripped,3,3,4,144
T1_WordCount,gpt5,_stripped,3_stripped,3,3,4,144
T1_WordCount,gpt5,_stripped,2_stripped,3,3,4,144
T1_WordCount,gpt5,_stripped,1_stripped,3,3,4,144
T1_WordCount,human,_O0,2_O0,37,34,69,2007
T1_WordCount,human,_O0,5_O0,18,25,41,1333
T1_WordCount,human,_O0,3_O0,23,23,44,1656
T1_WordCount,human,_O0,1_O0,14,9,21,1008
T1_WordCount,human,_O0,4_O0,18,7,23,941
T1_WordCount,human,_O3,5_O3,18,24,40,1599
T1_WordCount,human,_O3,2_O3,37,36,71,2206
T1_WordCount,human,_O3,4_O3,27,21,46,2566
T1_WordCount,human,_O3,1_O3,14,8,20,908
T1_WordCount,human,_O3,3_O3,26,28,52,2001
T1_WordCount,human,_base,3_base,26,28,52,2001
T1_WordCount,human,_base,2_base,37,36,71,2206
T1_WordCount,human,_base,1_base,14,8,20,908
T1_WordCount,human,_base,4_base,23,13,34,1686
T1_WordCount,human,_base,5_base,18,24,40,1599
T1_WordCount,human,_cff,1_cff,20,13,31,556
T1_WordCount,human,_cff,5_cff,3,3,4,501
T1_WordCount,human,_cff,2_cff,62,46,106,684
T1_WordCount,human,_cff,4_cff,3,3,4,431
T1_WordCount,human,_cff,3_cff,3,3,4,517
T1_WordCount,human,_clang_O2,5_clang_O2,20,25,43,1896
T1_WordCount,human,_clang_O2,3_clang_O2,23,23,44,1750
T1_WordCount,human,_clang_O2,1_clang_O2,34,27,59,3409
T1_WordCount,human,_clang_O2,2_clang_O2,42,35,75,2582
T1_WordCount,human,_clang_O2,4_clang_O2,25,24,47,1589
T1_WordCount,human,_elit,3_elit,31,24,53,7994
T1_WordCount,human,_elit,1_elit,20,9,27,4195
T1_WordCount,human,_elit,5_elit,28,25,51,7978
T1_WordCount,human,_elit,2_elit,50,39,87,11527
T1_WordCount,human,_elit,4_elit,25,7,30,5406
T1_WordCount,human,_stripped,4_stripped,3,3,4,144
T1_WordCount,human,_stripped,5_stripped,3,3,4,144
T1_WordCount,human,_stripped,3_stripped,3,3,4,144
T1_WordCount,human,_stripped,2_stripped,3,3,4,144
T1_WordCount,human,_stripped,1_stripped,3,3,4,144
T2_BubbleSort,gemini,_O0,2_O0,14,14,26,2057
T2_BubbleSort,gemini,_O0,5_O0,15,11,24,1178
T2_BubbleSort,gemini,_O0,3_O0,16,10,24,1107
T2_BubbleSort,gemini,_O0,1_O0,13,10,21,857
T2_BubbleSort,gemini,_O0,4_O0,15,10,23,1034
T2_BubbleSort,gemini,_O3,5_O3,15,11,24,1202
T2_BubbleSort,gemini,_O3,2_O3,15,14,27,1847
T2_BubbleSort,gemini,_O3,4_O3,15,9,22,1094
T2_BubbleSort,gemini,_O3,1_O3,17,17,32,1495
T2_BubbleSort,gemini,_O3,3_O3,16,9,23,1183
T2_BubbleSort,gemini,_base,3_base,16,9,23,1183
T2_BubbleSort,gemini,_base,2_base,15,14,27,1847
T2_BubbleSort,gemini,_base,1_base,14,11,23,988
T2_BubbleSort,gemini,_base,4_base,15,9,22,1094
T2_BubbleSort,gemini,_base,5_base,15,11,24,1202
T2_BubbleSort,gemini,_cff,1_cff,3,3,4,387
T2_BubbleSort,gemini,_cff,5_cff,3,3,4,431
T2_BubbleSort,gemini,_cff,2_cff,3,3,4,387
T2_BubbleSort,gemini,_cff,4_cff,3,3,4,387
T2_BubbleSort,gemini,_cff,3_cff,3,3,4,387
T2_BubbleSort,gemini,_clang_O2,5_clang_O2,28,27,53,2514
T2_BubbleSort,gemini,_clang_O2,3_clang_O2,29,30,57,2445
T2_BubbleSort,gemini,_clang_O2,1_clang_O2,25,32,55,2232
T2_BubbleSort,gemini,_clang_O2,2_clang_O2,23,27,48,3139
T2_BubbleSort,gemini,_clang_O2,4_clang_O2,29,32,59,2527
T2_BubbleSort,gemini,_elit,3_elit,28,11,37,6339
T2_BubbleSort,gemini,_elit,1_elit,20,10,28,5762
T2_BubbleSort,gemini,_elit,5_elit,24,11,33,7082
T2_BubbleSort,gemini,_elit,2_elit,24,14,36,6837
T2_BubbleSort,gemini,_elit,4_elit,26,11,35,9213
T2_BubbleSort,gemini,_stripped,4_stripped,3,3,4,144
T2_BubbleSort,gemini,_stripped,5_stripped,3,3,4,144
T2_BubbleSort,gemini,_stripped,3_stripped,3,3,4,144
T2_BubbleSort,gemini,_stripped,2_stripped,3,3,4,144
T2_BubbleSort,gemini,_stripped,1_stripped,3,3,4,144
T2_BubbleSort,gpt5,_O0,2_O0,28,31,57,2481
T2_BubbleSort,gpt5,_O0,5_O0,17,29,44,2292
T2_BubbleSort,gpt5,_O0,3_O0,19,20,37,2549
T2_BubbleSort,gpt5,_O0,1_O0,20,19,37,1524
T2_BubbleSort,gpt5,_O0,4_O0,23,21,42,1714
T2_BubbleSort,gpt5,_O3,5_O3,18,23,39,2353
T2_BubbleSort,gpt5,_O3,2_O3,31,30,59,2489
T2_BubbleSort,gpt5,_O3,4_O3,30,32,60,2749
T2_BubbleSort,gpt5,_O3,1_O3,25,28,51,2196
T2_BubbleSort,gpt5,_O3,3_O3,21,21,40,2619
T2_BubbleSort,gpt5,_base,3_base,21,21,40,2619
T2_BubbleSort,gpt5,_base,2_base,31,28,57,2468
T2_BubbleSort,gpt5,_base,1_base,21,21,40,1529
T2_BubbleSort,gpt5,_base,4_base,25,23,46,1852
T2_BubbleSort,gpt5,_base,5_base,16,23,37,2208
T2_BubbleSort,gpt5,_cff,1_cff,3,3,4,431
T2_BubbleSort,gpt5,_cff,5_cff,4,5,7,822
T2_BubbleSort,gpt5,_cff,2_cff,3,3,4,431
T2_BubbleSort,gpt5,_cff,4_cff,3,3,4,431
T2_BubbleSort,gpt5,_cff,3_cff,3,3,4,399
T2_BubbleSort,gpt5,_clang_O2,5_clang_O2,18,19,35,1480
T2_BubbleSort,gpt5,_clang_O2,3_clang_O2,26,28,52,3287
T2_BubbleSort,gpt5,_clang_O2,1_clang_O2,29,31,58,2824
T2_BubbleSort,gpt5,_clang_O2,2_clang_O2,33,38,69,2841
T2_BubbleSort,gpt5,_clang_O2,4_clang_O2,31,40,69,3228
